Date,Currency,Spot_Rate,Forward_1M,Forward_3M,Forward_6M,Implied_Vol_1M,Implied_Vol_3M
2024-01-31,EURUSD,1.085,1.08769,1.08354,1.09215,0.076,0.1916
2024-02-29,EURUSD,1.0807,1.08233,1.08643,1.08452,0.1036,0.192
2024-03-31,EURUSD,1.07589,1.07718,1.07931,1.08513,0.0846,0.1737
2024-04-30,EURUSD,1.06672,1.06825,1.06114,1.06431,0.0939,0.1096
2024-05-31,EURUSD,1.10924,1.10881,1.11416,1.10216,0.1737,0.0984
2024-06-30,EURUSD,1.07267,1.07155,1.07597,1.07039,0.133,0.1278
2024-07-31,EURUSD,1.05978,1.05697,1.05724,1.05924,0.0802,0.1161
2024-08-31,EURUSD,1.11125,1.11058,1.10535,1.1131,0.1661,0.0897
2024-09-30,EURUSD,1.15237,1.15182,1.15515,1.15032,0.1206,0.071
2024-10-31,EURUSD,1.13,1.1313,1.13219,1.11957,0.1042,0.1973
2024-11-30,EURUSD,1.08833,1.09101,1.09117,1.09012,0.1557,0.1824
2024-12-31,EURUSD,0.93577,0.93553,0.93549,0.93364,0.176,0.1606
2024-01-31,GBPUSD,1.265,1.26538,1.26374,1.27456,0.0845,0.1774
2024-02-29,GBPUSD,1.26483,1.26527,1.25807,1.27676,0.1215,0.1078
2024-03-31,GBPUSD,1.27646,1.27497,1.27175,1.26699,0.0957,0.1714
2024-04-30,GBPUSD,1.26353,1.26332,1.2594,1.25509,0.0999,0.1922
2024-05-31,GBPUSD,1.23842,1.24132,1.23783,1.24361,0.178,0.0765
2024-06-30,GBPUSD,1.26347,1.26041,1.26681,1.25796,0.0821,0.0751
2024-07-31,GBPUSD,1.26207,1.26287,1.26098,1.25013,0.154,0.0714
2024-08-31,GBPUSD,1.22622,1.22815,1.23201,1.22457,0.1243,0.132
2024-09-30,GBPUSD,1.30073,1.3038,1.29817,1.30372,0.1712,0.1951
2024-10-31,GBPUSD,1.25351,1.25357,1.2528,1.24796,0.1751,0.0886
2024-11-30,GBPUSD,1.18266,1.18109,1.18131,1.19445,0.0666,0.1452
2024-12-31,GBPUSD,1.29825,1.295,1.29287,1.29668,0.1213,0.1036
2024-01-31,JPYUSD,0.0067,0.00669,0.00674,0.00676,0.1002,0.1442
2024-02-29,JPYUSD,0.00541,0.00542,0.00538,0.00544,0.1738,0.0819
2024-03-31,JPYUSD,0.0035,0.00349,0.00349,0.00351,0.148,0.1994
2024-04-30,JPYUSD,0.00707,0.00706,0.00707,0.00708,0.1087,0.092
2024-05-31,JPYUSD,0.05693,0.05684,0.05696,0.05715,0.1218,0.1987
2024-06-30,JPYUSD,0.00569,0.00569,0.00568,0.00572,0.0805,0.12
2024-07-31,JPYUSD,-0.01883,-0.01887,-0.01883,-0.01895,0.1292,0.1145
2024-08-31,JPYUSD,-0.06016,-0.06027,-0.05997,-0.05983,0.1205,0.1039
2024-09-30,JPYUSD,-0.10948,-0.10979,-0.10957,-0.11027,0.0767,0.144
2024-10-31,JPYUSD,0.03331,0.03339,0.03335,0.03346,0.1046,0.082
2024-11-30,JPYUSD,-0.10636,-0.1066,-0.10604,-0.10736,0.175,0.1022
2024-12-31,JPYUSD,-0.04292,-0.04288,-0.04312,-0.04332,0.1132,0.1117
2024-01-31,AUDUSD,0.655,0.65411,0.65686,0.64913,0.0659,0.1202
2024-02-29,AUDUSD,0.65636,0.65578,0.6549,0.65624,0.0985,0.095
2024-03-31,AUDUSD,0.64179,0.64209,0.64551,0.63847,0.1418,0.1631
2024-04-30,AUDUSD,0.62314,0.62355,0.62007,0.62535,0.0677,0.1475
2024-05-31,AUDUSD,0.63851,0.63982,0.63492,0.6429,0.1152,0.0983
2024-06-30,AUDUSD,0.67208,0.6706,0.67574,0.66634,0.0839,0.1152
2024-07-31,AUDUSD,0.67943,0.67791,0.67772,0.67588,0.0856,0.1234
2024-08-31,AUDUSD,0.7315,0.7324,0.72902,0.72955,0.1069,0.1969
2024-09-30,AUDUSD,0.60951,0.60953,0.61154,0.61388,0.1614,0.1168
2024-10-31,AUDUSD,0.61482,0.61551,0.61344,0.60942,0.1442,0.0713
2024-11-30,AUDUSD,0.56894,0.5696,0.57076,0.56671,0.1574,0.1082
2024-12-31,AUDUSD,0.60461,0.60442,0.60626,0.60695,0.1785,0.0993
2024-01-31,CADUSD,0.74,0.74184,0.73695,0.74373,0.1282,0.1057
2024-02-29,CADUSD,0.74802,0.74791,0.74653,0.74921,0.1667,0.144
2024-03-31,CADUSD,0.74324,0.74124,0.74086,0.74312,0.0972,0.0936
2024-04-30,CADUSD,0.77417,0.77419,0.77253,0.77043,0.1157,0.0873
2024-05-31,CADUSD,0.72794,0.72915,0.73063,0.73184,0.0737,0.1537
2024-06-30,CADUSD,0.74795,0.74945,0.74864,0.75014,0.115,0.1387
2024-07-31,CADUSD,0.7429,0.74103,0.74232,0.73982,0.1255,0.0873
2024-08-31,CADUSD,0.72866,0.7295,0.73124,0.72376,0.0725,0.0889
2024-09-30,CADUSD,0.74315,0.74301,0.73964,0.74537,0.1642,0.1777
2024-10-31,CADUSD,0.78743,0.78802,0.78341,0.78132,0.0659,0.1035
2024-11-30,CADUSD,0.71969,0.71919,0.72351,0.72128,0.1602,0.1623
2024-12-31,CADUSD,0.70607,0.70443,0.70807,0.7029,0.1367,0.1143
